año,mes,punto_cruce,cantidad_ciclistas,Calle 1,Calle 2,Calle 1 Id,Calle 2 Id,Mes Id
2011,Junio,Del Libertador y Montevideo,1559,Del Libertador,Montevideo,6,10,6
2011,Junio,Corredor Norte y Casares,1738,Corredor Norte,Casares,7,29,6
2011,Junio,EEUU y 33 Orientales,616,EEUU,33 Orientales,8,30,6
2011,Junio,F. Alcorta y Derecho,1093,F. Alcorta,Derecho,9,31,6
2011,Junio,Montevideo y Peron,925,Montevideo,Peron,10,28,6
2011,Junio,Potosi y Rawson,468,Potosi,Rawson,17,33,6
2011,Junio,J. Alvarez y Padilla,223,J. Alvarez,Padilla,18,34,6
2011,Junio,Cnel. Diaz y Mansilla,300,Cnel. Diaz,Mansilla,11,32,6
2011,Junio,Arenales y Montevideo,448,Arenales,Montevideo,12,10,6
2011,Julio,Virrey Cevallos y Chile,1149,Virrey Cevallos,Chile,1,19,7
2011,Julio,Azopardo y Mexico,533,Azopardo,Mexico,2,25,7
2011,Julio,Rincon y Carlos Calvo,740,Rincon,Carlos Calvo,3,26,7
2011,Julio,Virrey Liniers y C.Calvo,663,Virrey Liniers,C.Calvo,4,27,7
2011,Julio,Billinghurst y Peron,1555,Billinghurst,Peron,5,28,7
2011,Julio,Del Libertador y Montevideo,969,Del Libertador,Montevideo,6,10,7
2011,Julio,Corredor Norte y Casares,1168,Corredor Norte,Casares,7,29,7
2011,Julio,EEUU y 33 Orientales,490,EEUU,33 Orientales,8,30,7
2011,Julio,F. Alcorta y Derecho,821,F. Alcorta,Derecho,9,31,7
2011,Julio,Montevideo y Peron,809,Montevideo,Peron,10,28,7
2011,Julio,Potosi y Rawson,441,Potosi,Rawson,17,33,7
2011,Julio,J. Alvarez y Padilla,243,J. Alvarez,Padilla,18,34,7
2011,Julio,Cnel. Diaz y Mansilla,250,Cnel. Diaz,Mansilla,11,32,7
2011,Julio,Arenales y Montevideo,374,Arenales,Montevideo,12,10,7
2011,Agosto,Virrey Cevallos y Chile,919,Virrey Cevallos,Chile,1,19,8
2011,Agosto,Azopardo y Mexico,504,Azopardo,Mexico,2,25,8
2011,Agosto,Rincon y Carlos Calvo,758,Rincon,Carlos Calvo,3,26,8
2011,Agosto,Virrey Liniers y C.Calvo,586,Virrey Liniers,C.Calvo,4,27,8
2011,Agosto,Billinghurst y Peron,1387,Billinghurst,Peron,5,28,8
2011,Agosto,Del Libertador y Montevideo,950,Del Libertador,Montevideo,6,10,8
2011,Agosto,Corredor Norte y Casares,1230,Corredor Norte,Casares,7,29,8
2011,Agosto,EEUU y 33 Orientales,441,EEUU,33 Orientales,8,30,8
2011,Agosto,F. Alcorta y Derecho,786,F. Alcorta,Derecho,9,31,8
2011,Agosto,Montevideo y Peron,870,Montevideo,Peron,10,28,8
2011,Agosto,Potosi y Rawson,419,Potosi,Rawson,17,33,8
2011,Agosto,J. Alvarez y Padilla,238,J. Alvarez,Padilla,18,34,8
2011,Agosto,Cnel. Diaz y Mansilla,275,Cnel. Diaz,Mansilla,11,32,8
2011,Agosto,Arenales y Montevideo,412,Arenales,Montevideo,12,10,8
2011,Septiembre,Virrey Cevallos y Chile,1267,Virrey Cevallos,Chile,1,19,9
2011,Septiembre,Azopardo y Mexico,587,Azopardo,Mexico,2,25,9
2011,Septiembre,Rincon y Carlos Calvo,873,Rincon,Carlos Calvo,3,26,9
2011,Septiembre,Virrey Liniers y C.Calvo,684,Virrey Liniers,C.Calvo,4,27,9
2011,Septiembre,Billinghurst y Peron,1910,Billinghurst,Peron,5,28,9
2011,Septiembre,Del Libertador y Montevideo,1308,Del Libertador,Montevideo,6,10,9
2011,Septiembre,Corredor Norte y Casares,1906,Corredor Norte,Casares,7,29,9
2011,Septiembre,EEUU y 33 Orientales,657,EEUU,33 Orientales,8,30,9
2011,Septiembre,F. Alcorta y Derecho,1411,F. Alcorta,Derecho,9,31,9
2011,Septiembre,Montevideo y Peron,893,Montevideo,Peron,10,28,9
2011,Septiembre,Potosi y Rawson,666,Potosi,Rawson,17,33,9
2011,Septiembre,J. Alvarez y Padilla,359,J. Alvarez,Padilla,18,34,9
2011,Septiembre,Cnel. Diaz y Mansilla,297,Cnel. Diaz,Mansilla,11,32,9
2011,Septiembre,Arenales y Montevideo,445,Arenales,Montevideo,12,10,9
2011,Octubre,Virrey Cevallos y Chile,1543,Virrey Cevallos,Chile,1,19,10
2011,Octubre,Azopardo y Mexico,696,Azopardo,Mexico,2,25,10
2011,Octubre,Rincon y Carlos Calvo,1142,Rincon,Carlos Calvo,3,26,10
2011,Octubre,Virrey Liniers y C.Calvo,1008,Virrey Liniers,C.Calvo,4,27,10
2011,Octubre,Billinghurst y Peron,2501,Billinghurst,Peron,5,28,10
2011,Octubre,Del Libertador y Montevideo,2157,Del Libertador,Montevideo,6,10,10
2011,Octubre,Corredor Norte y Casares,3310,Corredor Norte,Casares,7,29,10
2011,Octubre,EEUU y 33 Orientales,838,EEUU,33 Orientales,8,30,10
2011,Octubre,F. Alcorta y Derecho,1680,F. Alcorta,Derecho,9,31,10
2011,Octubre,Montevideo y Peron,1063,Montevideo,Peron,10,28,10
2011,Octubre,Potosi y Rawson,802,Potosi,Rawson,17,33,10
2011,Octubre,J. Alvarez y Padilla,387,J. Alvarez,Padilla,18,34,10
2011,Octubre,Cnel. Diaz y Mansilla,326,Cnel. Diaz,Mansilla,11,32,10
2011,Octubre,Arenales y Montevideo,488,Arenales,Montevideo,12,10,10
2011,Noviembre,Virrey Cevallos y Chile,1712,Virrey Cevallos,Chile,1,19,11
2011,Noviembre,Azopardo y Mexico,815,Azopardo,Mexico,2,25,11
2011,Noviembre,Rincon y Carlos Calvo,1049,Rincon,Carlos Calvo,3,26,11
2011,Noviembre,Virrey Liniers y C.Calvo,1062,Virrey Liniers,C.Calvo,4,27,11
2011,Noviembre,Billinghurst y Peron,2986,Billinghurst,Peron,5,28,11
2011,Noviembre,Del Libertador y Montevideo,2493,Del Libertador,Montevideo,6,10,11
2011,Noviembre,Corredor Norte y Casares,3245,Corredor Norte,Casares,7,29,11
2011,Noviembre,EEUU y 33 Orientales,952,EEUU,33 Orientales,8,30,11
2011,Noviembre,F. Alcorta y Derecho,2012,F. Alcorta,Derecho,9,31,11
2011,Noviembre,Montevideo y Peron,1220,Montevideo,Peron,10,28,11
2011,Noviembre,Potosi y Rawson,837,Potosi,Rawson,17,33,11
2011,Noviembre,J. Alvarez y Padilla,492,J. Alvarez,Padilla,18,34,11
2011,Noviembre,Chile y Tacuari,784,Chile,Tacuari,19,35,11
2011,Noviembre,Serrano y Loyola,684,Serrano,Loyola,20,36,11
2011,Noviembre,Gorriti y G. Cruz,1175,Gorriti,G. Cruz,21,37,11
2011,Noviembre,Cnel. Diaz y Mansilla,353,Cnel. Diaz,Mansilla,11,32,11
2011,Noviembre,Arenales y Montevideo,528,Arenales,Montevideo,12,10,11
2011,Diciembre,Virrey Cevallos y Chile,1567,Virrey Cevallos,Chile,1,19,12
2011,Diciembre,Azopardo y Mexico,749,Azopardo,Mexico,2,25,12
2011,Diciembre,Rincon y Carlos Calvo,1342,Rincon,Carlos Calvo,3,26,12
2011,Diciembre,Virrey Liniers y C.Calvo,1141,Virrey Liniers,C.Calvo,4,27,12
2011,Diciembre,Billinghurst y Peron,2541,Billinghurst,Peron,5,28,12
2011,Diciembre,Del Libertador y Montevideo,2109,Del Libertador,Montevideo,6,10,12
2011,Diciembre,Corredor Norte y Casares,2875,Corredor Norte,Casares,7,29,12
2011,Diciembre,EEUU y 33 Orientales,875,EEUU,33 Orientales,8,30,12
2011,Diciembre,F. Alcorta y Derecho,1440,F. Alcorta,Derecho,9,31,12
2011,Diciembre,Montevideo y Peron,1081,Montevideo,Peron,10,28,12
2011,Diciembre,Potosi y Rawson,761,Potosi,Rawson,17,33,12
2011,Diciembre,J. Alvarez y Padilla,478,J. Alvarez,Padilla,18,34,12
2011,Diciembre,Chile y Tacuari,871,Chile,Tacuari,19,35,12
2011,Diciembre,Serrano y Loyola,637,Serrano,Loyola,20,36,12
2011,Diciembre,Gorriti y G. Cruz,1435,Gorriti,G. Cruz,21,37,12
2011,Diciembre,Cnel. Diaz y Mansilla,313,Cnel. Diaz,Mansilla,11,32,12
2011,Diciembre,Arenales y Montevideo,469,Arenales,Montevideo,12,10,12
2012,Enero,Virrey Cevallos y Chile,1145,Virrey Cevallos,Chile,1,19,1
2012,Enero,Azopardo y Mexico,507,Azopardo,Mexico,2,25,1
2012,Enero,Rincon y Carlos Calvo,1067,Rincon,Carlos Calvo,3,26,1
2012,Enero,Virrey Liniers y C.Calvo,1093,Virrey Liniers,C.Calvo,4,27,1
