Origen,Destino,Distancia[km],Calle 1,Calle 2,Calle 1 id,Calle 2 id
Montevideo y Peron,Arenales y Montevideo,1.293,Arenales,Montevideo,12,10
Montevideo y Peron,Potosi y Rawson,3.45,Potosi,Rawson,17,33
Montevideo y Peron,J. Alvarez y Padilla,5.783,J. Alvarez,Padilla,18,34
Montevideo y Peron,Chile y Tacuari,2.143,Chile,Tacuari,19,35
Montevideo y Peron,Serrano y Loyola,5.722,Serrano,Loyola,20,36
Montevideo y Peron,Gorriti y G. Cruz,5.864,Gorriti,G. Cruz,21,37
Montevideo y Peron,11 de Sep y Monroe,10.344,11 de Sep,Monroe,22,38
Montevideo y Peron,M.T. Alvear y Uriburu,1.914,M.T. Alvear,Uriburu,23,39
Montevideo y Peron,La Pampa y Superi,9.083,La Pampa,Superi,24,40
Cnel. Diaz y Mansilla,Arenales y Montevideo,3.011,Arenales,Montevideo,12,10
Cnel. Diaz y Mansilla,Potosi y Rawson,2.691,Potosi,Rawson,17,33
Cnel. Diaz y Mansilla,J. Alvarez y Padilla,3.181,J. Alvarez,Padilla,18,34
Cnel. Diaz y Mansilla,Chile y Tacuari,6.334,Chile,Tacuari,19,35
Cnel. Diaz y Mansilla,Serrano y Loyola,3.12,Serrano,Loyola,20,36
Cnel. Diaz y Mansilla,Gorriti y G. Cruz,2.695,Gorriti,G. Cruz,21,37
Cnel. Diaz y Mansilla,11 de Sep y Monroe,7.114,11 de Sep,Monroe,22,38
Cnel. Diaz y Mansilla,M.T. Alvear y Uriburu,1.92,M.T. Alvear,Uriburu,23,39
Cnel. Diaz y Mansilla,La Pampa y Superi,6.482,La Pampa,Superi,24,40
Arenales y Montevideo,Potosi y Rawson,4.718,Potosi,Rawson,17,33
Arenales y Montevideo,J. Alvarez y Padilla,5.474,J. Alvarez,Padilla,18,34
Arenales y Montevideo,Chile y Tacuari,3.436,Chile,Tacuari,19,35
Arenales y Montevideo,Serrano y Loyola,5.413,Serrano,Loyola,20,36
